 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
423,0.75087,423,0.56841,423,0,423,-0.56841
424,0.75087,424,0.56841,424,0,424,-0.56841
425,0.75087,425,0.56841,425,0,425,-0.56841
426,0.75087,426,0.56841,426,0,426,-0.56841
427,0.75087,427,0.56841,427,0,427,-0.56841
428,0.75087,428,0.56841,428,0,428,-0.56841
429,0.75087,429,0.56841,429,0,429,-0.56841
430,0.75087,430,0.56841,430,0,430,-0.56841
431,0.75087,431,0.56841,431,0,431,-0.56841
432,0.75087,432,0.56841,432,0,432,-0.56841
433,0.75087,433,0.56841,433,0,433,-0.56841
434,0.75087,434,0.56841,434,0,434,-0.56841
435,0.75087,435,0.56841,435,0,435,-0.56841
436,0.75087,436,0.56841,436,0,436,-0.56841
437,0.75087,437,0.56841,437,0,437,-0.56841
438,0.75087,438,0.56841,438,0,438,-0.56841
439,0.75087,439,0.56841,439,0,439,-0.56841
440,0.75087,440,0.56841,440,0,440,-0.56841
441,0.75087,441,0.56841,441,0,441,-0.56841
442,0.75087,442,0.56841,442,0,442,-0.56841
443,0.75087,443,0.56841,443,0,443,-0.56841
444,0.75087,444,0.56841,444,0,444,-0.56841
445,0.75087,445,0.56841,445,0,445,-0.56841
446,0.75087,446,0.56841,446,0,446,-0.56841
447,0.75087,447,0.56841,447,0,447,-0.56841
448,0.75087,448,0.56841,448,0,448,-0.56841
449,0.75087,449,0.56841,449,0,449,-0.56841
450,0.75087,450,0.56841,450,0,450,-0.56841
451,0.75087,451,0.56841,451,0,451,-0.56841
452,0.75087,452,0.56841,452,0,452,-0.56841
453,0.75087,453,0.56841,453,0,453,-0.56841
454,0.75087,454,0.56841,454,0,454,-0.56841
455,0.75087,455,0.56841,455,0,455,-0.56841
456,0.75087,456,0.56841,456,0,456,-0.56841
457,0.75087,457,0.56841,457,0,457,-0.56841
458,0.75087,458,0.56841,458,0,458,-0.56841
459,0.75087,459,0.56841,459,0,459,-0.56841
460,0.75087,460,0.56841,460,0,460,-0.56841
461,0.75087,461,0.56841,461,0,461,-0.56841
462,0.75087,462,0.56841,462,0,462,-0.56841
463,0.75087,463,0.56841,463,0,463,-0.56841
464,0.75087,464,0.56841,464,0,464,-0.56841
465,0.75087,465,0.56841,465,0,465,-0.56841
466,0.75087,466,0.56841,466,0,466,-0.56841
467,0.75087,467,0.56841,467,0,467,-0.56841
468,0.75087,468,0.56841,468,0,468,-0.56841
469,0.75087,469,0.56841,469,0,469,-0.56841
470,0.75087,470,0.56841,470,0,470,-0.56841
471,0.75087,471,0.56841,471,0,471,-0.56841
472,0.75087,472,0.56841,472,0,472,-0.56841
473,0.75087,473,0.56841,473,0,473,-0.56841
474,0.75087,474,0.56841,474,0,474,-0.56841
475,0.75087,475,0.56841,475,0,475,-0.56841
476,0.75087,476,0.56841,476,0,476,-0.56841
477,0.75087,477,0.56841,477,0,477,-0.56841
478,0.75087,478,0.56841,478,0,478,-0.56841
479,0.75087,479,0.56841,479,0,479,-0.56841
480,0.75087,480,0.56841,480,0,480,-0.56841
481,0.75087,481,0.56841,481,0,481,-0.56841
482,0.75087,482,0.56841,482,0,482,-0.56841
483,0.75087,483,0.56841,483,0,483,-0.56841
484,0.75087,484,0.56841,484,0,484,-0.56841
485,0.75087,485,0.56841,485,0,485,-0.56841
486,0.75087,486,0.56841,486,0,486,-0.56841
487,0.75087,487,0.56841,487,0,487,-0.56841
488,0.75087,488,0.56841,488,0,488,-0.56841
489,0.75087,489,0.56841,489,0,489,-0.56841
490,0.75087,490,0.56841,490,0,490,-0.56841
491,0.75087,491,0.56841,491,0,491,-0.56841
492,0.75087,492,0.56841,492,0,492,-0.56841
493,0.75087,493,0.56841,493,0,493,-0.56841
494,0.75087,494,0.56841,494,0,494,-0.56841
495,0.75087,495,0.56841,495,0,495,-0.56841
496,0.75087,496,0.56841,496,0,496,-0.56841
497,0.75087,497,0.56841,497,0,497,-0.56841
498,0.75087,498,0.56841,498,0,498,-0.56841
499,0.75087,499,0.56841,499,0,499,-0.56841
500,0.75087,500,0.56841,500,0,500,-0.56841
501,0.75087,501,0.56841,501,0,501,-0.56841
502,0.75087,502,0.56841,502,0,502,-0.56841
503,0.75087,503,0.56841,503,0,503,-0.56841
504,0.75087,504,0.56841,504,0,504,-0.56841
505,0.75087,505,0.56841,505,0,505,-0.56841
506,0.75087,506,0.56841,506,0,506,-0.56841
507,0.75087,507,0.56841,507,0,507,-0.56841
508,0.75087,508,0.56841,508,0,508,-0.56841
509,0.75087,509,0.56841,509,0,509,-0.56841
510,0.75087,510,0.56841,510,0,510,-0.56841
511,0.75087,511,0.56841,511,0,511,-0.56841
512,0.75087,512,0.56841,512,0,512,-0.56841
513,0.75087,513,0.56841,513,0,513,-0.56841
514,0.75087,514,0.56841,514,0,514,-0.56841
515,0.75087,515,0.56841,515,0,515,-0.56841
516,0.75087,516,0.56841,516,0,516,-0.56841
517,0.75087,517,0.56841,517,0,517,-0.56841
518,0.75087,518,0.56841,518,0,518,-0.56841
519,0.75087,519,0.56841,519,0,519,-0.56841
520,0.75087,520,0.56841,520,0,520,-0.56841
521,0.75087,521,0.56841,521,0,521,-0.56841
522,0.75087,522,0.56841,522,0,522,-0.56841
523,0.75087,523,0.56841,523,0,523,-0.56841
524,0.75087,524,0.56841,524,0,524,-0.56841
525,0.75087,525,0.56841,525,0,525,-0.56841
526,0.75087,526,0.56841,526,0,526,-0.56841
527,0.75087,527,0.56841,527,0,527,-0.56841
528,0.75087,528,0.56841,528,0,528,-0.56841
529,0.75087,529,0.56841,529,0,529,-0.56841
