 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
539,0.979,539,0.67598,539,0,539,-0.67598
540,0.979,540,0.67598,540,0,540,-0.67598
541,0.979,541,0.67598,541,0,541,-0.67598
542,0.979,542,0.67598,542,0,542,-0.67598
543,0.979,543,0.67598,543,0,543,-0.67598
544,0.979,544,0.67598,544,0,544,-0.67598
545,0.979,545,0.67598,545,0,545,-0.67598
546,0.979,546,0.67598,546,0,546,-0.67598
547,0.979,547,0.67598,547,0,547,-0.67598
548,0.979,548,0.67598,548,0,548,-0.67598
549,0.979,549,0.67598,549,0,549,-0.67598
550,0.979,550,0.67598,550,0,550,-0.67598
